118.45.113.48:16038 #KR 고화질용
183.105.151.175:12511 #KR 고화질용
218.157.158.21:39122 #KR 고화질용
132.145.81.117:443 #KR 고화질용
121.128.254.108:34522 #KR 고화질용
118.32.91.200:37222 #KR 고화질용
221.156.61.192:12277 #KR 고화질용
218.157.158.21:16072 #KR 고화질용
59.16.189.174:12422 #KR 고화질용
218.157.27.76:12333 #KR 고화질용
220.117.126.46:12200 #KR 고화질용
222.114.85.48:12274 #KR 고화질용
61.77.159.59:12498 #KR 고화질용
121.164.147.15:11288 #KR 고화질용
220.120.172.116:22403 #KR 고화질용
61.72.115.195:12527 #KR 고화질용
121.149.185.121:12312 #KR 고화질용
175.194.73.189:14182 #KR 고화질용
118.41.181.140:12590 #KR 고화질용
121.149.208.174:10001 #KR 고화질용
168.126.210.143:18093 #KR 고화질용
121.144.201.72:12203 #KR 고화질용
121.160.137.82:30027 #KR 고화질용
121.150.130.214:22107 #KR 고화질용
168.126.210.143:16100 #KR 고화질용
119.195.219.150:21282 #KR 고화질용
222.99.141.191:10019 #KR 고화질용
220.126.105.22:35100 #KR 고화질용
121.176.175.54:32444 #KR 고화질용
121.178.121.161:30050 #KR 고화질용
59.14.4.241:12412 #KR 고화질용
121.135.67.72:12237 #KR 고화질용
222.117.231.32:12463 #KR 고화질용
220.78.176.158:18059 #KR 고화질용
175.205.86.108:10046 #KR 고화질용
59.30.229.122:50000 #KR 고화질용
220.118.166.81:50003 #KR 고화질용
222.102.190.56:30922 #KR 고화질용
211.193.231.86:12289 #KR 고화질용
123.111.169.70:2087 #KR
123.111.169.70:2083 #KR
123.111.169.70:2096 #KR
123.111.169.70:2053 #KR
123.111.169.70:443 #KR
43.201.6.18:8443 #KR
123.111.169.70:8443 #KR
118.221.27.51:20202 #KR
175.120.87.29:10001 #KR
152.67.203.34:443 #KR
131.186.17.132:443 #KR
158.180.80.172:3333 #KR
193.122.108.223:443 #KR
152.67.218.163:3333 #KR
49.1.224.28:12529 #KR
152.70.250.232:443 #KR
144.24.88.124:443 #KR
52.141.27.147:443 #KR
152.69.224.72:443 #KR
129.154.210.66:443 #KR
129.154.51.156:443 #KR
131.186.21.1:443 #KR
130.162.140.138:443 #KR
140.238.0.216:443 #KR
144.24.94.21:443 #KR
129.154.203.210:443 #KR
146.56.164.82:443 #KR
27.102.102.148:443 #KR
146.56.42.67:443 #KR
193.123.255.85:443 #KR
64.110.78.0:443 #KR
152.67.217.223:443 #KR
43.155.173.61:443 #KR
45.141.139.242:443 #KR
152.67.195.144:443 #KR
132.145.93.91:443 #KR
1.32.216.32:443 #KR
3.34.125.181:443 #KR
146.56.179.198:443 #KR
132.226.227.184:443 #KR
144.24.83.32:443 #KR
129.154.205.180:443 #KR
152.67.219.103:443 #KR
130.162.130.105:443 #KR
27.102.128.166:443 #KR
130.162.131.114:443 #KR
152.70.232.18:443 #KR
146.56.160.116:443 #KR
52.141.49.83:443 #KR
131.186.24.5:443 #KR
129.154.212.140:443 #KR
132.145.90.172:443 #KR
203.231.254.32:443 #KR
129.154.200.161:443 #KR
146.56.147.210:443 #KR
129.154.50.159:443 #KR
138.2.127.132:443 #KR
152.70.36.145:443 #KR
132.145.88.4:443 #KR
130.162.148.208:443 #KR
130.162.148.155:443 #KR
193.123.225.141:443 #KR
64.110.89.138:443 #KR
158.247.221.174:443 #KR
140.238.27.170:443 #KR
93.152.217.56:443 #KR
146.56.46.162:443 #KR
203.227.62.176:443 #KR
193.123.253.221:443 #KR
158.180.73.62:443 #KR
129.154.221.58:443 #KR
158.180.78.24:443 #KR
158.180.83.119:443 #KR
132.226.21.97:443 #KR
131.186.20.64:443 #KR
146.56.165.71:443 #KR
130.162.132.120:443 #KR
64.110.89.230:443 #KR
141.164.37.147:443 #KR
130.162.128.200:443 #KR
130.162.132.37:443 #KR
193.123.235.174:443 #KR
152.67.205.88:443 #KR
3.38.61.91:443 #KR
79.110.55.200:443 #KR
144.24.90.107:443 #KR
79.110.55.213:443 #KR
79.110.55.229:443 #KR
13.125.68.159:443 #KR
132.226.18.0:443 #KR
131.186.20.131:443 #KR
79.110.55.230:443 #KR
103.78.133.164:443 #KR
43.203.73.237:443 #KR
146.56.167.171:443 #KR
130.162.131.28:443 #KR
64.110.77.64:443 #KR
140.238.14.64:443 #KR
130.162.158.69:443 #KR
52.79.250.22:443 #KR
152.67.200.200:443 #KR
3.35.237.140:443 #KR
183.111.253.174:443 #KR
140.238.12.169:443 #KR
193.122.118.74:443 #KR
193.122.109.15:443 #KR
193.123.250.46:443 #KR
146.56.134.249:443 #KR
146.56.172.165:443 #KR
43.133.247.131:443 #KR
138.2.125.129:443 #KR
158.180.85.29:443 #KR
130.162.157.197:443 #KR
20.41.73.172:443 #KR
8.220.218.105:443 #KR
129.154.204.126:443 #KR
152.67.217.230:443 #KR
132.145.87.71:443 #KR
130.162.140.242:443 #KR
193.123.233.17:443 #KR
3.34.130.136:443 #KR
152.70.249.12:443 #KR
104.20.25.172:443 #HK
104.20.31.43:443 #HK
47.76.62.98:587 #HK
45.8.186.89:56484 #HK
165.154.41.48:443 #HK
83.229.123.36:8443 #HK
152.32.226.221:80 #HK
47.239.245.161:30122 #HK
18.167.12.209:443 #HK
